City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Bom Jardim,BR,-7.7958,-35.5872,67.46,91,19,3.96,few clouds
327,Atasu,KZ,48.6814,71.6433,53.91,25,7,2.55,clear sky
328,Abidjan,CI,5.3094,-4.0197,75.16,100,75,3.44,moderate rain
329,Ramon,PH,16.7842,121.535,81.77,82,89,1.3,overcast clouds
330,Zig,US,40.127,-92.7663,73.69,56,1,3.44,clear sky
331,Kainantu,PG,-6.2887,145.8655,72.84,53,59,6.73,broken clouds
332,Selma,US,36.5708,-119.6121,97.92,27,1,0.0,clear sky
333,Fortuna,US,40.5982,-124.1573,63.93,68,1,1.99,clear sky
334,San Quintin,MX,30.4833,-115.95,70.92,71,0,13.58,clear sky
335,Nome,US,64.5011,-165.4064,48.27,87,90,4.61,light rain
336,Tazovskiy,RU,67.4667,78.7,40.89,90,100,6.53,overcast clouds
337,Raga,SS,8.4596,25.678,69.87,95,14,2.37,few clouds
338,Siocon,PH,7.7061,122.1353,82.11,82,74,5.32,broken clouds
339,Abalak,RU,58.1286,68.5944,51.3,81,100,6.64,overcast clouds
340,Skjervoy,NO,70.0311,20.9714,44.76,67,24,11.7,few clouds
341,Tilichiki,RU,60.4667,166.1,51.17,51,32,4.68,scattered clouds
342,Soure,BR,-0.7167,-48.5233,80.28,79,6,11.16,clear sky
343,Novorozhdestvenskaya,RU,45.8619,39.9542,61.43,23,13,7.9,few clouds
344,Ust-Kulom,RU,61.6864,53.6902,40.03,96,100,9.55,overcast clouds
345,Vila Do Maio,CV,15.1333,-23.2167,81.39,82,100,9.15,overcast clouds
